psi,theta,phi,x,y,z
-3.141592654,-0.589921287,0,0.556295616,6.81E-17,0.830984469
-3.141592654,-0.573043953,0,0.542192252,6.64E-17,0.840254463
-3.141592654,-0.556166619,0,0.527934452,6.47E-17,0.84928512
-3.141592654,-0.539289286,0,0.513526276,6.29E-17,0.858073869
-3.141592654,-0.522411952,0,0.498971828,6.11E-17,0.866618206
-3.141592654,-0.505534618,0,0.484275255,5.93E-17,0.874915697
-3.141592654,-0.488657284,0,0.469440742,5.75E-17,0.88296398
-3.141592654,-0.47177995,0,0.454472514,5.57E-17,0.890760761
-3.141592654,-0.454902616,0,0.439374836,5.38E-17,0.89830382
-3.141592654,-0.438025282,0,0.424152007,5.19E-17,0.905591009
-3.141592654,-0.421147949,0,0.408808363,5.01E-17,0.912620251
-3.141592654,-0.404270615,0,0.393348276,4.82E-17,0.919389544
-3.141592654,-0.387393281,0,0.377776148,4.63E-17,0.925896961
-3.141592654,-0.370515947,0,0.362096415,4.43E-17,0.932140647
-3.141592654,-0.353638613,0,0.346313544,4.24E-17,0.938118825
-3.141592654,-0.336761279,0,0.330432029,4.05E-17,0.943829791
-3.141592654,-0.319883945,0,0.314456395,3.85E-17,0.949271919
-3.141592654,-0.303006611,0,0.298391192,3.65E-17,0.954443658
-3.141592654,-0.286129278,0,0.282240996,3.46E-17,0.959343536
-3.141592654,-0.269251944,0,0.266010407,3.26E-17,0.963970157
-3.141592654,-0.25237461,0,0.249704049,3.06E-17,0.968322203
-3.141592654,-0.235497276,0,0.233326565,2.86E-17,0.972398434
-3.141592654,-0.218619942,0,0.216882621,2.66E-17,0.976197689
-3.141592654,-0.201742608,0,0.2003769,2.45E-17,0.979718887
-3.141592654,-0.184865274,0,0.183814105,2.25E-17,0.982961024
-3.141592654,-0.167987941,0,0.167198953,2.05E-17,0.985923177
-3.141592654,-0.151110607,0,0.150536176,1.84E-17,0.988604501
-3.141592654,-0.134233273,0,0.13383052,1.64E-17,0.991004234
-3.141592654,-0.117355939,0,0.117086745,1.43E-17,0.993121691
-3.141592654,-0.100478605,0,0.100309619,1.23E-17,0.994956271
-3.141592654,-0.083601271,0,0.083503921,1.02E-17,0.996507449
-3.141592654,-0.066723937,0,0.066674438,8.17E-18,0.997774784
-3.141592654,-0.049846603,0,0.049825964,6.10E-18,0.998757915
-3.141592654,-0.03296927,0,0.032963297,4.04E-18,0.999456563
-3.141592654,-0.016091936,0,0.016091241,1.97E-18,0.999870528
-3.141592654,0.000785398,0,-0.000785398,-9.62E-20,0.999999692
-3.141592654,0.017662732,0,-0.017661814,-2.16E-18,0.999844018
-3.141592654,0.034540066,0,-0.034533198,-4.23E-18,0.999403551
-3.141592654,0.0514174,0,-0.051394747,-6.29E-18,0.998678417
-3.141592654,0.068294734,0,-0.068241656,-8.36E-18,0.997668821
-3.141592654,0.085172067,0,-0.085069128,-1.04E-17,0.996375052
-3.141592654,0.102049401,0,-0.101872368,-1.25E-17,0.994797477
-3.141592654,0.118926735,0,-0.118646592,-1.45E-17,0.992936547
-3.141592654,0.135804069,0,-0.135387021,-1.66E-17,0.990792791
-3.141592654,0.152681403,0,-0.152088886,-1.86E-17,0.98836682
-3.141592654,0.169558737,0,-0.16874743,-2.07E-17,0.985659325
-3.141592654,0.186436071,0,-0.185357909,-2.27E-17,0.982671077
-3.141592654,0.203313405,0,-0.201915591,-2.47E-17,0.979402927
-3.141592654,0.220190738,0,-0.21841576,-2.67E-17,0.975855807
-3.141592654,0.237068072,0,-0.234853716,-2.88E-17,0.972030726
-3.141592654,0.253945406,0,-0.251224777,-3.08E-17,0.967928774
-3.141592654,0.27082274,0,-0.267524279,-3.28E-17,0.96355112
